repository_id,pull_request_number,full_divergence,python_divergence,delta,total_files,python_files,non_python_files,total_changes,python_changes,non_python_changes,non_python_ratio,non_python_change_ratio,module_count,documentation_files,configuration_files,test_files,assets_files,other_files
1,3253,0.9745102318445782,0.9745102318445782,0.0,1,1,0,8,8,0,0.0,0.0,1,0,0,0,0,0
1,3266,0.5610895705230324,0.6476880951312721,0.08659852460823969,4,2,2,247,146,101,0.5,0.4089068825910931,4,2,0,0,0,0
1,3270,0.6788574589196301,0.8608988254765824,0.18204136655695224,86,41,45,2446,464,1982,0.5232558139534884,0.8103025347506132,83,39,1,0,0,5
1,3272,0.9039521516436907,0.9121932737676448,0.008241122123954114,3,2,1,22,12,10,0.3333333333333333,0.45454545454545453,3,1,0,0,0,0
1,3273,0.8761743670339595,0.878919778209328,0.0027454111753685284,3,2,1,6,4,2,0.3333333333333333,0.3333333333333333,3,1,0,0,0,0
1,3274,0.9603254217224492,0.9603254217224492,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3278,0.7845521188030868,0.7849502158246571,0.00039809702157023175,6,4,2,82,79,3,0.3333333333333333,0.036585365853658534,6,2,0,0,0,0
1,3282,0.5205399238999491,0.4791386750259107,-0.0414012488740384,8,4,4,65,43,22,0.5,0.3384615384615385,8,4,0,0,0,0
1,3284,0.49661581893600304,0.5066418635661355,0.010026044630132458,3,2,1,44,40,4,0.3333333333333333,0.09090909090909091,3,1,0,0,0,0
1,3285,0.5819474381308273,0.5378320927129221,-0.04411534541790518,2,1,1,3,2,1,0.5,0.3333333333333333,2,1,0,0,0,0
1,3292,0.49138561807327175,0.4582613056810809,-0.033124312392190824,4,3,1,55,45,10,0.25,0.18181818181818182,4,1,0,0,0,0
1,3299,0.6002482957262864,0.514456389624546,-0.08579190610174037,3,2,1,14,5,9,0.3333333333333333,0.6428571428571429,3,1,0,0,0,0
1,3315,0.8734301766819859,0.8734301766819859,0.0,1,1,0,13,13,0,0.0,0.0,1,0,0,0,0,0
1,3328,0.6912906289282263,0.6912906289282263,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3336,0.799267455912466,0.799267455912466,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3369,0.6673697974493817,0.6418642623727566,-0.02550553507662512,3,2,1,78,69,9,0.3333333333333333,0.11538461538461539,3,1,0,0,0,0
